l  0.0000 5.0000  4.0000   4.0000  0.0000   0.0000
l -2.0000 5.0000 -2.4641   0.0000 2.0000 2.0000
l  2.0000 5.0000 -2.4641  2.0000  0.0000 2.0000

g -0.3702 0.1915 -0.1565  0.011677 0.006437 -0.007961 0.008426 -0.005788 0.010625  0.2624 0.5383  0.7618 0.4849 0.6687
g -0.9204 1.3753 0.0505  0.014200 -0.001137 -0.002854 0.008740 0.001976 0.013002  0.2535 0.7341  0.4372 0.0751 0.4266
g 0.4535 1.2444 -0.4535  0.025735 0.000370 0.000612 0.025134 -0.001787 0.026744  0.4431 0.9976  0.0026 0.2475 0.7831
g -0.0231 0.4755 -0.1463  0.013496 -0.002415 -0.000545 0.022606 -0.008321 0.013857  0.2481 0.8801  0.0014 0.5828 0.4608
g 0.8229 0.4601 -0.7556  0.023134 0.008749 -0.002367 0.011503 0.007555 0.021016  0.4234 0.7135  0.6205 0.2946 0.5906
g -0.3430 1.9124 -0.0522  0.025885 0.003622 -0.007735 0.022513 0.007648 0.014962  0.3040 0.9400  0.6220 0.3278 0.0051
g -0.5464 0.0392 0.3362  0.027836 0.000446 0.003474 0.015327 0.001284 0.021609  0.4835 0.7522  0.3462 0.8852 0.1756
g -0.5811 1.0282 -0.5457  0.010704 -0.001177 0.001382 0.011093 -0.001105 0.006347  0.4070 0.5359  0.9988 0.7378 0.7504
g -0.5483 0.9969 -0.1309  0.012401 0.007228 -0.001691 0.016787 -0.008126 0.009719  0.3422 0.5353  0.4712 0.8563 0.5810
g -0.6386 0.1595 -0.3128  0.018865 0.004146 -0.002142 0.022067 0.000955 0.023541  0.4693 0.6658  0.7869 0.2335 0.7551
g 0.8480 1.4233 0.9779  0.017162 -0.001911 -0.003053 0.017425 -0.002024 0.027430  0.4986 0.8502  0.9731 0.7943 0.4016
g -0.3523 0.6667 -0.8423  0.018460 0.002422 0.005718 0.013673 -0.005564 0.019079  0.3539 0.8419  0.2154 0.5135 0.5112
g 0.1967 1.8121 0.8880  0.016650 0.009278 -0.001559 0.012981 0.000873 0.025485  0.2398 0.9691  0.9891 0.2483 0.6532
g 0.7771 1.2237 -0.8924  0.008188 0.002558 0.004270 0.013086 0.005055 0.010034  0.2996 0.5395  0.1281 0.2420 0.3139
g -0.1207 0.6081 -0.8310  0.004574 0.001915 -0.001808 0.011924 -0.005635 0.008832  0.3528 0.5404  0.2588 0.5086 0.6229
g -0.0507 0.0526 0.9774  0.009268 0.002189 0.007085 0.009937 -0.001247 0.022591  0.3816 0.9889  0.4677 0.1815 0.6654
g -0.7881 1.3015 0.1510  0.010146 0.000663 -0.000880 0.011017 0.000651 0.010436  0.3925 0.8784  0.7517 0.1435 0.7996
g -0.2574 0.7769 0.1579  0.016346 0.003576 -0.003206 0.018853 -0.004393 0.016638  0.4943 0.9927  0.4582 0.2654 0.7142
g 0.3617 1.1243 -0.3269  0.016904 -0.004008 -0.000329 0.011229 -0.002227 0.005105  0.2057 0.9575  0.8562 0.4730 0.6895
g -0.5933 1.3581 -0.2962  0.003370 0.000059 -0.000441 0.003309 -0.000281 0.004856  0.4502 0.6913  0.6777 0.5724 0.4864
g -0.9402 0.7167 0.2326  0.004537 0.000668 0.003138 0.008637 -0.001058 0.008332  0.3832 0.7335  0.6689 0.3018 0.4127
g -0.3247 0.7244 0.8324  0.013350 0.006926 -0.004621 0.019124 -0.005222 0.015176  0.2418 0.5543  0.4470 0.6549 0.1849
g 0.7075 0.4295 0.4469  0.016192 0.004202 0.003884 0.016653 0.000334 0.005653  0.3547 0.8821  0.2356 0.0960 0.6068
g 0.0371 0.2353 0.2557  0.026543 0.000167 -0.003247 0.020674 -0.004535 0.011222  0.4000 0.5317  0.0513 0.1689 0.2495
g 0.3216 1.1326 -0.0647  0.019020 -0.005824 -0.003736 0.027275 -0.001697 0.021465  0.2568 0.9192  0.1441 0.6799 0.2853
g -0.4475 0.5408 -0.8687  0.020985 -0.001839 -0.001856 0.005065 0.006477 0.022119  0.2329 0.5705  0.8502 0.1286 0.5812
g -0.2239 0.5996 0.1123  0.021441 0.002042 0.004244 0.003576 -0.001037 0.027586  0.4370 0.9225  0.1193 0.8067 0.9111
g -0.5333 1.5343 -0.7413  0.028393 0.001275 -0.002464 0.009459 -0.006451 0.018906  0.4156 0.8751  0.0345 0.7058 0.0513
g 0.8477 1.8229 0.3913  0.014653 -0.005353 -0.003698 0.008907 0.003380 0.011324  0.4104 0.8392  0.5511 0.7951 0.6675
g 0.9148 0.9339 0.9386  0.029114 -0.003534 -0.002083 0.005866 -0.000725 0.009879  0.4768 0.5608  0.6310 0.1751 0.6705
g -0.1159 0.4091 0.4256  0.028716 0.000779 -0.005483 0.009221 0.000418 0.007689  0.4899 0.6678  0.4438 0.1818 0.0440
g -0.6158 1.1202 0.0328  0.009507 0.004144 0.002162 0.017644 0.002077 0.011117  0.3015 0.6256  0.4030 0.8589 0.7834
g -0.4142 1.5536 -0.6602  0.005609 -0.000198 0.000255 0.010907 0.001594 0.009458  0.2865 0.7277  0.6619 0.4661 0.7455
g 0.8432 1.8994 0.5966  0.023766 0.000588 0.000076 0.023984 -0.000050 0.024538  0.2371 0.6002  0.1668 0.4028 0.3215
g 0.8987 0.4614 0.3460  0.012057 -0.005281 0.005155 0.012967 -0.008625 0.021314  0.4747 0.5683  0.4387 0.0490 0.1825
g 0.0130 0.5804 0.2350  0.011865 0.000786 -0.001924 0.011713 -0.000471 0.012208  0.4489 0.6405  0.4526 0.1010 0.1917
g -0.8654 1.3448 -0.3780  0.012231 -0.004953 0.007524 0.010038 -0.003308 0.017365  0.2605 0.5926  0.0515 0.7742 0.1851
g 0.4101 1.5815 -0.7382  0.019822 -0.000932 -0.003148 0.018402 -0.003252 0.022664  0.3427 0.6026  0.9133 0.7691 0.3673
g -0.2734 1.2854 -0.6435  0.004129 -0.000727 0.000588 0.004480 0.000122 0.003092  0.2972 0.9575  0.9671 0.4956 0.2228
g -0.6953 0.2550 -0.6755  0.027195 -0.004191 0.003331 0.016634 0.008096 0.022907  0.4890 0.9939  0.5948 0.3010 0.0494
g 0.4562 1.3533 -0.9979  0.026002 0.001681 0.000197 0.024933 0.000072 0.025117  0.3293 0.7713  0.0804 0.2902 0.8771
g 0.7402 0.5309 0.8562  0.022722 -0.003331 -0.001063 0.006097 0.005739 0.017249  0.4542 0.8705  0.5853 0.5888 0.7621
g -0.4175 1.0489 0.3388  0.004483 -0.000693 0.000541 0.002917 -0.000218 0.002835  0.2568 0.8128  0.5920 0.6589 0.7401
g 0.6410 1.2521 -0.4395  0.027457 0.003763 -0.003678 0.007321 -0.000636 0.007319  0.3213 0.7890  0.7033 0.4931 0.3557
g 0.4343 0.0969 0.1476  0.007824 0.002805 0.001818 0.011545 0.001556 0.009306  0.2554 0.9128  0.1094 0.9540 0.1143
g 0.3058 1.3433 -0.1978  0.009792 0.003814 -0.003701 0.004882 -0.001687 0.017180  0.2275 0.5020  0.1341 0.5471 0.3431
g -0.8840 1.5738 -0.5433  0.012872 -0.003680 -0.003002 0.017889 -0.004680 0.015817  0.4727 0.8161  0.4841 0.2326 0.0069
g -0.3154 0.1570 0.5374  0.019924 0.000913 0.007958 0.005510 -0.002424 0.010908  0.4378 0.9061  0.6563 0.0445 0.3489
g -0.0660 0.0489 -0.6022  0.024208 -0.005688 0.000379 0.019434 -0.000343 0.015757  0.3786 0.7882  0.6915 0.8192 0.3087
g 0.4390 0.2307 0.2029  0.023607 0.004025 0.004099 0.021579 0.001785 0.023133  0.2518 0.5437  0.1290 0.9212 0.1389
